,UNITID,OPEID,OPEID6,INSTNM,AGEGE24,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,SD_EARN_WNE_P10,COUNT_WNE_INC1_P10,COUNT_WNE_INC2_P10,COUNT_WNE_INC3_P10,COUNT_WNE_INDEP0_INC1_P10,COUNT_WNE_INDEP0_P10,COUNT_WNE_INDEP1_P10,COUNT_WNE_MALE0_P10,COUNT_WNE_MALE1_P10,GT_25K_P10,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10,MN_EARN_WNE_INDEP0_INC1_P10,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,SD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_WNE_INDEP1_P6,COUNT_WNE_MALE0_P6,COUNT_WNE_MALE1_P6,GT_25K_P6,MN_EARN_WNE_INC1_P6,MN_EARN_WNE_INC2_P6,MN_EARN_WNE_INC3_P6,MN_EARN_WNE_INDEP0_INC1_P6,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,GT_25K_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,PCT10_EARN_WNE_P8,PCT25_EARN_WNE_P8,PCT75_EARN_WNE_P8,PCT90_EARN_WNE_P8,SD_EARN_WNE_P8,GT_25K_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,GT_25K_P9,GT_28K_P10,GT_28K_P8,GT_28K_P6
2381,193900,278500,2785,New York University,0.12999999523162,74.1500015258789,10.1099996566772,7.51000022888183,12.079999923706,21.6700000762939,15.4499998092651,78.7200012207031,82106.43,7.40000009536743,3.28999996185302,11.2399997711181,640.0,5497.0,78600.0,61900.0,12900.0,37100.0,93600.0,145300.0,82100.0,1266.0,1407.0,2824.0,694.0,4629.0,868.0,3440.0,2057.0,0.819,76100.0,74200.0,81800.0,74800.0,78000.0,81500.0,70100.0,92700.0,487.0,5001.0,55900.0,48900.0,8300.0,26500.0,73500.0,92900.0,45600.0,1219.0,1239.0,2543.0,650.0,4217.0,784.0,3063.0,1938.0,0.756,55200.0,57100.0,55600.0,50000.0,53900.0,66600.0,52900.0,60600.0,556.0,4548.0,59300.0,57800.0,0.77264732122421,532.0,5074.0,68700.0,56700.0,11100.0,33600.0,84200.0,117800.0,62800.0,0.806,629.0,4767.0,70400.0,78100.0,0.79609817266464,0.812,0.799,0.737
1543,164924,212800,2128,Boston College,0.15999999642372,81.7200012207031,7.51000022888183,4.94999980926513,8.10000038146972,22.5100002288818,16.1599998474121,84.7399978637695,83893.95,5.92999982833862,2.88000011444091,11.2700004577636,206.0,2530.0,92500.0,72500.0,24200.0,51100.0,109400.0,160300.0,79600.0,696.0,586.0,1248.0,171.0,1823.0,707.0,1450.0,1080.0,0.908,94900.0,96400.0,89400.0,76300.0,88000.0,104200.0,80600.0,108600.0,110.0,1802.0,64900.0,57000.0,21300.0,39300.0,78000.0,102900.0,46600.0,350.0,411.0,1041.0,155.0,1544.0,258.0,924.0,878.0,0.883,63100.0,63100.0,66300.0,55700.0,63300.0,74900.0,58900.0,71300.0,162.0,2139.0,72500.0,64600.0,0.88031792640686,134.0,2214.0,82200.0,65900.0,23200.0,48100.0,94900.0,146600.0,73600.0,0.904,142.0,2084.0,79300.0,70400.0,0.8939539194107,0.897,0.9,0.863
1544,164988,213000,2130,Boston University,0.07000000029802,81.7099990844726,6.46999979019165,5.69999980926513,9.01000022888183,22.0100002288818,15.5299997329711,84.2900009155273,83140.68,5.76999998092651,2.90000009536743,11.2600002288818,379.0,4461.0,75900.0,65300.0,19500.0,44500.0,92400.0,119600.0,61500.0,775.0,1037.0,2649.0,389.0,4013.0,448.0,2681.0,1780.0,0.872,83300.0,74000.0,74500.0,67700.0,73600.0,96900.0,68800.0,86600.0,266.0,3710.0,52800.0,49200.0,14200.0,33100.0,66800.0,80400.0,34800.0,588.0,834.0,2288.0,375.0,3375.0,335.0,2307.0,1403.0,0.807,57100.0,50400.0,52500.0,46200.0,51200.0,68100.0,48800.0,59300.0,298.0,3910.0,54700.0,39100.0,0.82685422897338,302.0,3931.0,63400.0,56900.0,18200.0,38800.0,78100.0,98100.0,44000.0,0.859,327.0,3691.0,63600.0,46400.0,0.85640746355056,0.873,0.844,0.805
2679,201645,302400,3024,Case Western Reserve University,0.28000000119209,83.4899978637695,10.5200004577636,2.86999988555908,3.47000002861023,19.25,12.1599998474121,92.3199996948242,69873.4,6.44999980926513,3.00999999046325,11.0900001525878,115.0,1371.0,89300.0,74600.0,22000.0,48600.0,109600.0,137800.0,70300.0,527.0,341.0,503.0,81.0,778.0,593.0,652.0,719.0,0.897,93100.0,96000.0,80700.0,66200.0,79100.0,102600.0,78000.0,99400.0,98.0,1451.0,69900.0,59600.0,19100.0,40100.0,84000.0,119900.0,53300.0,593.0,361.0,497.0,64.0,803.0,648.0,706.0,745.0,0.86,80200.0,62300.0,63000.0,49400.0,55300.0,87900.0,63400.0,76000.0,85.0,1088.0,70800.0,52000.0,0.86856615543365,109.0,1474.0,79300.0,66400.0,21200.0,44300.0,96000.0,136600.0,62500.0,0.895,84.0,910.0,74600.0,52700.0,0.88681316375732,0.893,0.868,0.85
1618,167358,219900,2199,Northeastern University,0.14000000059604,84.3199996948242,6.46000003814697,4.11999988555908,6.21999979019165,21.1800003051757,14.6000003814697,86.5299987792968,80190.89,5.69000005722045,2.85999989509582,11.2399997711181,363.0,4865.0,74200.0,67400.0,18800.0,43500.0,92700.0,112700.0,52400.0,918.0,1201.0,2746.0,610.0,4096.0,769.0,2672.0,2193.0,0.876,72900.0,71900.0,75700.0,64300.0,73600.0,77400.0,68700.0,81000.0,217.0,4131.0,57800.0,54400.0,15700.0,36300.0,72600.0,85600.0,35200.0,715.0,864.0,2552.0,411.0,3528.0,603.0,2170.0,1961.0,0.845,51100.0,57200.0,59800.0,45400.0,56500.0,65400.0,54900.0,60900.0,309.0,4527.0,56800.0,35100.0,0.84559309482574,282.0,4590.0,65800.0,61100.0,17700.0,39700.0,82600.0,103100.0,43200.0,0.867,389.0,4903.0,63200.0,41700.0,0.86600041389465,0.873,0.854,0.84
701,134130,153500,1535,University of Florida,0.10000000149011,78.8399963378906,13.539999961853,2.40000009536743,14.9399995803833,17.3400001525878,11.0900001525878,81.8199996948242,60120.16,8.72999954223632,3.26999998092651,10.9399995803833,700.0,7279.0,65700.0,56000.0,15900.0,36600.0,84100.0,109000.0,53000.0,2409.0,2371.0,2499.0,1240.0,6043.0,1236.0,4011.0,3268.0,0.842,63400.0,65200.0,68500.0,55600.0,65100.0,69000.0,60300.0,72400.0,491.0,5859.0,47700.0,42600.0,10800.0,26800.0,62000.0,81200.0,37000.0,1895.0,1997.0,1967.0,1100.0,4999.0,860.0,3185.0,2674.0,0.752,47300.0,46800.0,49000.0,39800.0,47000.0,51700.0,43400.0,52900.0,588.0,6132.0,50700.0,44700.0,0.78310501575469,565.0,6953.0,57800.0,48100.0,14300.0,32100.0,71900.0,98400.0,54300.0,0.818,654.0,6711.0,56600.0,39900.0,0.82640439271926,0.832,0.797,0.735
427,121150,1014900,10149,Pepperdine University,0.28000000119209,73.7399978637695,5.73999977111816,7.88000011444091,17.25,21.7700004577636,12.1700000762939,81.5400009155273,79068.51,6.90000009536743,3.40000009536743,11.2200002670288,132.0,1116.0,77600.0,65500.0,15200.0,38600.0,100200.0,137800.0,63500.0,338.0,292.0,486.0,83.0,747.0,369.0,605.0,511.0,0.839,88300.0,71100.0,74200.0,62100.0,65100.0,103000.0,71900.0,84500.0,69.0,755.0,54100.0,47800.0,13400.0,28300.0,68300.0,112300.0,49500.0,128.0,200.0,427.0,82.0,603.0,152.0,424.0,331.0,0.779,50200.0,60300.0,52400.0,41200.0,48400.0,76600.0,48400.0,61400.0,88.0,947.0,61700.0,55500.0,0.80570220947265,79.0,927.0,72200.0,57500.0,15300.0,34900.0,89200.0,124100.0,69300.0,0.83,140.0,849.0,72100.0,56000.0,0.85394579172134,0.828,0.803,0.755
844,139959,159800,1598,University of Georgia,0.12999999523162,74.8799972534179,18.5699996948242,2.77999997138977,4.96000003814697,19.9200000762939,10.7600002288818,91.4800033569336,71225.06,7.26999998092651,2.99000000953674,11.1099996566772,526.0,5102.0,59100.0,50500.0,14200.0,32800.0,74200.0,96200.0,49900.0,1201.0,1382.0,2519.0,538.0,4221.0,881.0,2854.0,2248.0,0.81,57000.0,57700.0,60900.0,53100.0,59600.0,57000.0,52900.0,67000.0,414.0,4978.0,45200.0,39900.0,11200.0,25800.0,55600.0,68900.0,48000.0,1287.0,1394.0,2297.0,498.0,4146.0,832.0,2871.0,2107.0,0.747,47300.0,43200.0,45300.0,41000.0,45000.0,46400.0,40000.0,52200.0,388.0,4359.0,45800.0,50800.0,0.751777946949,435.0,5097.0,53000.0,46000.0,12900.0,30800.0,65400.0,83500.0,45300.0,0.791,445.0,4558.0,50800.0,41000.0,0.79442739486694,0.8,0.784,0.719
2305,191241,272200,2722,Fordham University,0.05999999865889,71.5500030517578,12.3800001144409,5.65999984741211,15.619999885559,19.0699996948242,13.6999998092651,77.7699966430664,77653.15,9.07999992370605,3.64000010490417,11.1700000762939,280.0,2545.0,67000.0,59200.0,14700.0,36900.0,83200.0,112100.0,56600.0,536.0,662.0,1347.0,411.0,2345.0,200.0,1677.0,868.0,0.836,59400.0,63900.0,71500.0,57200.0,68200.0,52600.0,62500.0,75500.0,185.0,2079.0,53600.0,49100.0,9500.0,30600.0,67300.0,76800.0,45500.0,451.0,449.0,1179.0,413.0,1881.0,198.0,1122.0,957.0,0.785,46400.0,55600.0,55600.0,40200.0,53300.0,55700.0,49100.0,58900.0,236.0,2269.0,51000.0,40700.0,0.78360509872436,197.0,2271.0,60200.0,54600.0,12400.0,34900.0,75800.0,92600.0,44700.0,0.812,233.0,2246.0,60700.0,54800.0,0.80943900346756,0.828,0.801,0.776
2466,196413,288200,2882,Syracuse University,0.05999999865889,80.9899978637695,8.81999969482422,4.32000017166137,8.14000034332275,19.3899993896484,14.079999923706,86.4199981689453,75289.41,7.55000019073486,3.34999990463256,11.1400003433227,243.0,3283.0,69200.0,62100.0,17500.0,41700.0,87000.0,107900.0,48900.0,640.0,816.0,1827.0,416.0,2966.0,317.0,1890.0,1393.0,0.868,68000.0,67500.0,70400.0,61900.0,68900.0,72300.0,65000.0,74900.0,209.0,3469.0,48700.0,45900.0,13000.0,29700.0,63200.0,72700.0,36100.0,780.0,829.0,1860.0,407.0,3272.0,197.0,2013.0,1456.0,0.79,46800.0,46300.0,50500.0,39100.0,48800.0,46700.0,45000.0,53700.0,205.0,3046.0,50600.0,41000.0,0.81845045089721,245.0,3537.0,57500.0,53200.0,16500.0,35800.0,73600.0,89500.0,38000.0,0.839,214.0,3033.0,59700.0,48400.0,0.83646553754806,0.864,0.826,0.767
